Number,GivenName,Surname,Gender,StreetAddress,City,StateFull,ZipCode,TelephoneNumber,Age,Company,Latitude,Longitude
25,Rodrigo,Ferreira,male,"Rua Estados Unidos 1523",Caucaia,Ceará,61642-140,"(85) 3361-8392",43,"Aaronson Furniture",-3.742042,-38.782116
26,Bruna,Pereira,female,"Rua Norberto Antônio Marcondes 70",Itapetininga,"São Paulo",18200-380,"(15) 7834-8835",34,BASCO,-23.551866,-48.21326
27,Ryan,Dias,male,"Rua Santo Antônio do Paraíso 310",Guarulhos,"São Paulo",07132-050,"(11) 9743-4666",35,"Advansed Teksyztems",-23.383449,-46.523581
28,Luan,Ribeiro,male,"Rua Marginal Direita 1747",Suzano,"São Paulo",08653-460,"(11) 8102-7930",18,Finast,-23.510309,-46.292857
29,Laura,Almeida,female,"Rua Estrela do Sul 185",Atibaia,"São Paulo",12954-436,"(11) 5648-5299",38,"Full Color",-23.097152,-46.579138
30,Manuela,Cavalcanti,female,"Rua Vera Lúcia Teixeira 208",Salvador,Bahia,41207-360,"(71) 4328-9325",33,"County Seat",-12.845687,-38.423804
31,Kaua,Pinto,male,"Vila Arino 1120",Fortaleza,Ceará,60357-050,"(85) 3492-5569",24,"Clemens Markets",-3.782915,-38.533039
32,Luis,Araujo,male,"Travessa Yamato 526",Apucarana,Paraná,86802-660,"(43) 9529-5311",37,"Carter's Foods",-23.531969,-51.426765
33,Luiza,Ferreira,female,"Rua Mutamba 529",Belém,Pará,66814-040,"(91) 5403-3896",43,"Cala Foods",-1.271271,-48.503166
34,Ágatha,Almeida,female,"Rua Manaus 151","Santa Maria","Rio Grande do Sul",97030-340,"(55) 8228-4560",40,"Disc Jockey",-29.826823,-53.829183
35,Lucas,Rodrigues,male,"Quadra de A a Z 672","São Luís",Maranhão,65085-290,"(98) 9168-9221",31,"Virgin Megastores",-2.740837,-44.319924
36,Fernanda,Pereira,female,"Avenida Brasília 1112","Santa Luzia","Minas Gerais",33120-510,"(31) 7859-7038",36,"Happy Bear Investment",-19.82684,-43.842609
37,Larissa,Rodrigues,female,"Rua João Adelino Pacheco de Moraes 1938",Cachoeirinha,"Rio Grande do Sul",94940-150,"(51) 4985-3190",28,"Grey Fade",-29.990625,-51.105599
38,Julia,Araujo,female,"Rua Lopes Benavides 1881","São Paulo","São Paulo",03390-030,"(11) 6583-2861",27,"Beefsteak Charlie's",-23.723823,-46.691916
39,Luiza,Castro,female,"Rua Zacarias Elias 1920",Anápolis,Goiás,75084-460,"(62) 5162-8145",39,"Rhodes Furniture",-16.217725,-48.958456
40,Leila,Silva,female,"Rua B 5 1584",Manaus,Amazonas,69046-370,"(92) 7644-7926",18,"Rossi Auto Parts",-2.647456,-60.224757
41,Victor,Ribeiro,male,"Praça João Felipe Júnior 1093",Poá,"São Paulo",08552-000,"(11) 4823-3716",31,Silo,-23.562909,-46.367599
42,Marisa,Costa,female,"Rua Vale da Nogueira 1928","São Paulo","São Paulo",04338-160,"(11) 4191-4325",20,Pointers,-23.588446,-46.588825
43,Diego,Costa,male,"Rua Ataulfo Argenta 173","São Paulo","São Paulo",04377-110,"(11) 5971-8419",42,Konsili,-23.669027,-46.610963
44,Arthur,Costa,male,"Rua Professor Mário Degni 1822","São Paulo","São Paulo",02910-125,"(11) 4053-3219",29,Edwards,-23.638058,-46.704948
45,Luana,Carvalho,female,"Rua Itapiranga 1144","Feira de Santana",Bahia,44050-350,"(75) 3410-4354",18,"Aaronson Furniture",-12.260282,-39.145014
46,Tânia,Azevedo,female,"Rua Catedral 52","Porto Alegre","Rio Grande do Sul",91120-460,"(51) 4635-6001",44,"Funtown toys",-30.213145,-51.252457
47,Letícia,Martins,female,"Avenida Marechal Deodoro da Fonseca 1600","Telêmaco Borba",Paraná,84266-470,"(42) 5431-3263",36,"Cloth World",-24.269145,-50.5883
48,Luiza,Goncalves,female,"Rua BW-16 845",Itabira,"Minas Gerais",35902-079,"(31) 8235-3122",19,"Del Farm",-19.594274,-43.373649
49,Matilde,Souza,female,"Rua Armando Gonçalves da Rocha 1610",Americana,"São Paulo",13473-330,"(19) 5212-2966",25,"Crown Auto Parts",-22.772713,-47.371564
50,Aline,Rocha,female,"Rua Guaporé 1897",Paranavaí,Paraná,87703-390,"(44) 7016-8082",44,"EXPO Design Center",-22.927881,-52.566307
51,Kai,Azevedo,male,"Rua Geraldo Ilídio Teixeira 615","Belo Horizonte","Minas Gerais",31655-440,"(31) 8339-3965",45,"Huffman and Boyle",-19.907579,-43.993334
52,Marisa,Carvalho,female,"Estrada do Baruel 1160","Ribeirão Pires","São Paulo",09435-650,"(16) 6138-3203",30,"Atlas Realty",-23.616971,-46.416418
53,Leila,Azevedo,female,"Rua da Boa União 1950",Jequié,Bahia,45208-250,"(73) 2919-3564",44,"Spaceage Stereo",-13.851265,-40.018784
54,Vitoria,Silva,female,"Rua Álvaro Teixeira de Mesquita 1411",Recife,Pernambuco,50730-660,"(81) 2445-2369",22,"Weenie Beenie",-8.081793,-35.04047
55,Sarah,Cardoso,female,"Quadra Quadra 364 1596",Luziânia,Goiás,72853-364,"(61) 2726-5962",22,Mages,-16.5162,-47.880574
56,Fernanda,Cardoso,female,"Quadra SHIGS 705 Bloco L 1223",Brasília,"Distrito Federal",70350-712,"(61) 2156-8821",24,"Second Time Around",-15.751407,-47.665799
57,Manuela,Lima,female,"Rua Santa Maria 379",Jequié,Bahia,45202-060,"(73) 7999-3039",42,"Plan Future",-13.952559,-40.029179
58,Anna,Cardoso,female,"Rua César Faraco 1380",Goiânia,Goiás,74355-684,"(62) 8432-9338",36,Newhair,-16.674756,-49.236715
59,Isabelle,Sousa,female,"Quadra QBR 07 Bloco O 718","Santa Maria","Distrito Federal",72594-015,"(61) 8634-4850",21,Ulbrich's,-29.753975,-53.773023
60,João,Gomes,male,"Rua RN 9 757",Goiânia,Goiás,74573-406,"(62) 3700-8989",33,"Allied City Stores",-16.713537,-49.201741
61,Julieta,Azevedo,female,"Rua Oito 1763","São José dos Campos","São Paulo",12226-280,"(12) 6836-7221",44,"Cut Above",-23.185623,-45.936683
62,Giovanna,Almeida,female,"Rua Santa Cruz 1295",Tatuí,"São Paulo",18276-020,"(15) 4894-3946",27,Erlebacher's,-23.408862,-47.756643
63,Leonor,Fernandes,female,"Quadra QR 429 Conjunto 24 106",Samambaia,"Distrito Federal",72329-024,"(61) 9440-7325",40,"Parts America",-23.112606,-47.451076
64,Julieta,Barbosa,female,"Quadra Quadra QR 307 Conjunto P 638","Santa Maria","Distrito Federal",72507-516,"(61) 3060-5520",18,"L.L. Berger",-29.725336,-53.818829
65,Marisa,Oliveira,female,"Rua José de Campos Silva 483",Itatiba,"São Paulo",13254-871,"(11) 7373-4529",37,"David Weis",-23.067883,-46.711435
66,Clara,Gomes,female,"Rua Sargento da Aeronáutica da Benedito Fumeni 594",Guarulhos,"São Paulo",07181-080,"(11) 3924-6740",33,ManPower,-23.452123,-46.362001
67,Tânia,Barbosa,female,"Rua Rio Branco 331","Coronel Fabriciano","Minas Gerais",35170-015,"(31) 7646-5370",28,Foxmoor,-19.472514,-42.595488
68,Sarah,Lima,female,"Rua Professor Leonor de França 1510",Natal,"Rio Grande do Norte",59090-314,"(84) 4470-2593",29,"Plan Future",-5.75699,-35.265663
69,Leila,Sousa,female,"Rua H 1582",Fortaleza,Ceará,60330-356,"(85) 7419-2481",37,"Gold Medal",-3.673956,-38.443731
70,Camila,Santos,female,"Quadra QN 305 Conjunto 01 1220",Samambaia,"Distrito Federal",72305-201,"(61) 6390-4820",37,"Fit Tonic",-23.0727,-47.406428
71,Beatrice,Carvalho,female,"Rua Antônio Dias da Silva 6","São Paulo","São Paulo",02618-110,"(11) 2318-8091",23,"Omni Realty",-23.559394,-46.696873
72,Giovana,Costa,female,"Ladeira Boa Esperança 1516",Salvador,Bahia,40243-270,"(71) 2726-5228",30,Sherman's,-12.896407,-38.483231
73,Amanda,Alves,female,"Travessa Doze 1231",Contagem,"Minas Gerais",32010-745,"(31) 7125-8607",27,Keeney's,-19.956155,-44.146964
74,Vitoria,Santos,female,"Rua Armando Arruda Pereira 838",Guarulhos,"São Paulo",07095-100,"(11) 6057-6848",24,"Platinum Interior Design",-23.329813,-46.432172
75,Fernanda,Sousa,female,"Rua Tapajós 1241","Francisco Beltrão",Paraná,85602-170,"(46) 2506-3131",30,"Record World",-26.133448,-53.107386
76,Gabrielly,Alves,female,"Rua Kanetaro Mitishita 1867",Marília,"São Paulo",17519-730,"(14) 3526-6034",37,"On Cue",-22.14729,-49.922477
77,Thaís,Ribeiro,female,"Rua das Crianças 528","Santa Maria","Rio Grande do Sul",97070-240,"(55) 8442-5794",36,Brendle's,-29.812062,-53.756617
78,Melissa,Melo,female,"Rua Coronel Sebastião Rocha 1136","Passo Fundo","Rio Grande do Sul",99036-200,"(54) 3261-6424",23,"Little Folk Shops",-28.323258,-52.411479
79,Alice,Martins,female,"Travessa Nova Cruzeiro 334","Serra Talhada",Pernambuco,56906-495,"(87) 7701-6943",35,"David Weis",-8.169285,-38.332399
80,Douglas,Cardoso,male,"Rua Ilha Fernando de Noronha 291","Rio Grande","Rio Grande do Sul",96215-240,"(53) 7680-7688",25,"E-zhe Source",-31.979365,-52.352944
81,Luiz,Martins,male,"Vila Ninita 1633","São Paulo","São Paulo",03176-070,"(11) 9211-7819",31,"Oranges Records & Tapes",-23.617418,-46.71286
82,Tânia,Rocha,female,"Rua Valdemar 1379","São Paulo","São Paulo",03613-020,"(11) 2259-7870",23,"Red Owl",-23.539326,-46.700849
83,Laura,Rocha,female,"Rua Wellington Barreto 1745","Campina Grande",Paraíba,58108-260,"(83) 8161-6816",24,McDade's,-7.358997,-35.992389
84,Carolina,Araujo,female,"3ª Travessa Lima Teixeira 854",Salvador,Bahia,40251-290,"(71) 5291-3428",30,"Endicott Johnson",-12.814605,-38.446244
85,Carlos,Carvalho,male,"Rua Prefeito Miguel Lopes 1648","Palmeira dos Índios",Alagoas,57602-030,"(82) 3743-9990",24,Silo,-9.408994,-36.606444
86,Isabella,Azevedo,female,"Rua Elisabeth Menezes Curvelo 1267","São João de Meriti","Rio de Janeiro",25576-190,"(21) 3742-5512",37,Weatherill's,-22.893473,-43.405439
87,Matheus,Fernandes,male,"Rua Treze 1884","Nova Iguaçu","Rio de Janeiro",26053-270,"(21) 2352-2793",20,"Helping Hand",-22.595882,-43.419978
88,Rafaela,Almeida,female,"Rua Amazonita 368","Ponta Grossa",Paraná,84021-550,"(42) 8389-3212",21,"Back To Basics Chiropractic Clinic",-25.201357,-50.037229
89,André,Barbosa,male,"Travessa Serra Leoa 864",Petrolina,Pernambuco,56325-271,"(87) 4432-4613",45,"Steak and Ale",-9.081904,-40.486945
90,Luana,Melo,female,"Rua José Araújo Chaves 1059",Osasco,"São Paulo",06124-000,"(11) 8343-9578",18,"The Polka Dot Bear Tavern",-23.569516,-46.773689
91,Beatrice,Gomes,female,"Viela Quatro 930",Guaratinguetá,"São Paulo",12518-410,"(12) 8077-6635",36,HomeBase,-22.812699,-45.213095
92,Júlia,Pereira,female,"Rua Enrique Taboas Bernardez 241",Pirassununga,"São Paulo",13634-318,"(19) 7351-7705",18,"The White Swan",-21.963626,-47.325331
93,Gabrielly,Carvalho,female,"Rua Santa Bertila 1355",Bauru,"São Paulo",17032-287,"(14) 6071-9313",33,"Crazy Eddie",-22.317045,-49.066376
94,Leila,Cunha,female,"Rua Deputado Antônio Sylvio da Cunha Bueno 1978",Taubaté,"São Paulo",12052-650,"(12) 3460-2036",43,"Food Giant",-22.981562,-45.467963
95,Vinícius,Pereira,male,"Rua Espatódia 446",Araguari,"Minas Gerais",38440-368,"(34) 3077-2665",43,"Buehler Foods",-18.587867,-48.209943
96,Camila,Dias,female,"Travessa Santa Eugênia 135","Rio de Janeiro","Rio de Janeiro",21670-210,"(21) 4471-9266",36,"Edge Yard Service",-22.874429,-43.356158
97,Victor,Carvalho,male,"Rua dos Angicos 156",Avaré,"São Paulo",18704-590,"(14) 3967-4225",25,"Handy Andy",-23.004604,-48.790509
98,Luana,Cavalcanti,female,"Rua Desembargador Aguiar Valim 1174","São Paulo","São Paulo",04535-100,"(11) 4841-8154",22,"Fellowship Investments",-23.578483,-46.732074
99,Leila,Almeida,female,"Rua Itaiacoca 1087",Itaquaquecetuba,"São Paulo",08575-820,"(11) 4936-9535",38,Sampson's,-23.410494,-46.322663
100,Isabella,Rodrigues,female,"Via Maracaibo 1539",Itapevi,"São Paulo",06665-550,"(11) 6058-8417",22,"Dun Rite Lawn Care",-23.543961,-47.030918
101,Gabriel,Lima,male,"Vila do Contorno 1548","Rio de Janeiro","Rio de Janeiro",22725-804,"(21) 2376-6724",29,McDuff,-22.861267,-43.411845
102,André,Cunha,male,"Rua Antônio Rosa Júnior 164",Lorena,"São Paulo",12602-040,"(12) 7417-5366",22,"J. K. Gill Company",-22.849207,-45.00267
103,Isabella,Silva,female,"Rua Bernardo Kulkamp 359",Diadema,"São Paulo",09910-240,"(11) 7022-6134",44,"Payless Cashways",-23.79024,-46.543231
104,Miguel,Azevedo,male,"Rua João Paulo da Costa Velho 1570",Paranavaí,Paraná,87708-150,"(44) 4769-4093",41,"Network Air",-22.853947,-52.546266
105,Martim,Cunha,male,"Rua Tharsis e Paula 1105",Itaguaí,"Rio de Janeiro",23835-520,"(21) 3370-9185",28,"Old America Stores",-22.755943,-43.799661
106,Leonardo,Dias,male,"Rua José Roberto Fraga 1712","Belo Horizonte","Minas Gerais",30670-360,"(31) 4653-7574",42,"The High Heelers",-19.878318,-44.027999
107,Ágatha,Almeida,female,"Rua Cento e Vinte e Seis 189",Cariacica,"Espírito Santo",29157-300,"(27) 3309-3214",21,"Bumper to Bumper Auto Parts",-20.261388,-40.425576
108,Marisa,Rocha,female,"Rua Raul Osuna Delgado 1249",Avaré,"São Paulo",18702-760,"(14) 5508-3177",29,"Action Auto",-23.079242,-48.848079
109,Carolina,Fernandes,female,"Beco Lajes Acil 1209","Belo Horizonte","Minas Gerais",30810-198,"(31) 9155-5104",28,"Pantry Pride",-19.993521,-44.0408
110,Beatrice,Silva,female,"Rua Homero Rodrigues Pardinho 1642",Bebedouro,"São Paulo",14711-020,"(17) 5655-8277",34,"MacMarr Stores",-20.988835,-48.536093
111,Thiago,Alves,male,"Rua Jacob Heflinger 971",Limeira,"São Paulo",13485-156,"(19) 4975-7033",33,"Listen Up",-22.563688,-47.323607
112,Maria,Ribeiro,female,"Rua Dez 423","Rio de Janeiro","Rio de Janeiro",23560-412,"(21) 4643-4898",45,"Magna Gases",-22.859782,-43.363718
113,Luiz,Oliveira,male,"Rua Cisalpina 1058","São Paulo","São Paulo",04926-190,"(11) 6330-6392",44,"Monk House Maker",-23.723803,-46.732556
114,Paulo,Rocha,male,"Quadra EQS 511/512 748",Brasília,"Distrito Federal",70361-570,"(61) 9852-3665",20,"System Star Solutions",-15.885298,-47.640415
115,Laura,Costa,female,"Praça Américo Fiorotto 1552",Birigüi,"São Paulo",16200-023,"(18) 8516-7817",35,"Quest Technology Service",-21.159212,-50.270645
116,Eduarda,Ferreira,female,"Estrada Anarolina Silveira Santos 963",Florianópolis,"Santa Catarina",88056-590,"(48) 3008-7102",25,"Endicott Johnson",-27.628898,-48.532507
117,Diego,Dias,male,"Rua Isaar Carlos de Camargo 425","São Paulo","São Paulo",08280-040,"(11) 6827-7494",27,"Disc Jockey",-23.659696,-46.5661
118,Evelyn,Melo,female,"Quadra QNP 13 Conjunto E 1749",Ceilândia,"Distrito Federal",72241-305,"(61) 2511-6572",43,"ABC Markets",-15.785259,-48.066051
119,Matheus,Silva,male,"Rua Rocha Loures 1484",Guarapuava,Paraná,85055-070,"(42) 5719-2341",35,LaBelle's,-25.386661,-51.449023
120,Luiza,Souza,female,"Vila Raimundo Mendes 1115",Fortaleza,Ceará,60320-650,"(85) 8767-5560",31,"Suncoast Video",-3.766691,-38.506571
121,Eduarda,Correia,female,"Rua Nilo Peçanha 1251",Timóteo,"Minas Gerais",35182-094,"(31) 8004-8301",45,"Franklin Music",-19.492425,-42.66234
122,Isabela,Castro,female,"Travessa Antônio Pedro 1170",Niterói,"Rio de Janeiro",24230-030,"(21) 2352-8547",29,"Gart Sports",-22.849537,-43.180577
123,Ana,Fernandes,female,"Rua Joracy Camargo 688",Mauá,"São Paulo",09330-690,"(11) 2770-8418",35,"Happy Bear Investment",-23.750728,-46.489371
124,Enzo,Lima,male,"Rua Álvaro de Magalhães 59","Rio de Janeiro","Rio de Janeiro",21240-230,"(21) 6739-4335",37,"PriceRite Warehouse Club",-22.961286,-43.306135
125,Sophia,Correia,female,"Rua Carlos Pessoa de Brum 422","Porto Alegre","Rio Grande do Sul",90640-140,"(51) 9028-3368",37,Tweeter,-30.139438,-51.217918
126,Felipe,Ferreira,male,"Rua Geraldo Dinelli 917","Barra do Piraí","Rio de Janeiro",27115-030,"(24) 2022-4919",18,"Prahject Planner",-22.367432,-43.851273
127,Gabrielle,Sousa,female,"Beco dos Amigos-Um 1449","Porto Alegre","Rio Grande do Sul",91770-290,"(51) 2706-8637",43,"Master Builder Design Services",-30.132405,-51.23574
128,Alice,Costa,female,"Rua Luiz Bregalda 1542",Varginha,"Minas Gerais",37018-610,"(35) 5078-7916",29,"Solution Bridge",-21.563212,-45.396678
129,Letícia,Sousa,female,"Rua Doutor Moacir Sobreira 1062",Sobral,Ceará,62030-550,"(88) 3971-7162",43,Naturohair,-3.897466,-40.246806
130,Sarah,Silva,female,"Rua Bartolomeu Dias 1403",Cuiabá,"Mato Grosso",78075-160,"(65) 4140-7727",37,"Wealthy Ideas",-15.325065,-55.811381
131,André,Ferreira,male,"Praça Ricardo Miorin 322",Valinhos,"São Paulo",13276-369,"(19) 6902-6246",27,"Total Quality",-23.048288,-47.041605
132,Rebeca,Lima,female,"Rua Quarenta e Quatro 914",Recife,Pernambuco,52211-630,"(81) 6227-5534",33,"Golden Dawn",-8.008537,-34.903726
133,Gabrielly,Souza,female,"Quadra QS 411 Bloco C 1869",Samambaia,"Distrito Federal",72321-553,"(61) 3623-2088",45,"Wild Oats Markets",-23.091639,-47.364349
134,Diogo,Cavalcanti,male,"Conjunto Dom Jerônimo de Sá Cavalcante 762",Salvador,Bahia,41150-320,"(71) 3170-4384",42,"Edge Garden Services",-12.836722,-38.476941
135,Bianca,Azevedo,female,"Rua Seriema 1684","Sete Lagoas","Minas Gerais",35702-025,"(31) 6579-4382",27,Metro,-19.381852,-44.341745
136,Isabella,Cavalcanti,female,"Passagem Vereador 403",Belém,Pará,66065-527,"(91) 2479-3982",36,"Destiny Realty Solutions",-1.442166,-48.444542
137,Rebeca,Rocha,female,"Rua Senador Salgado Filho 759",Ourinhos,"São Paulo",19900-230,"(14) 9509-2723",21,"Vinyl Fever",-22.984708,-49.918581
138,Gabriel,Alves,male,"Rua Mansão do Minho 1229",Queimados,"Rio de Janeiro",26311-450,"(21) 4742-2437",35,"Morrison's Cafeteria",-22.77565,-43.533877
139,Murilo,Cunha,male,"Rua Particular 742","São Paulo","São Paulo",05266-007,"(11) 8677-4745",22,"Pro Star Garden Management",-23.603728,-46.616418
140,Clara,Alves,female,"Rua Mário Santos 1155","São José dos Pinhais",Paraná,83085-285,"(41) 7825-2403",40,Tianguis,-25.73604,-49.019953
141,Beatrice,Barros,female,"Rua Brumado 856",Salvador,Bahia,40375-100,"(71) 8702-3922",33,Kent's,-12.957403,-38.486096
142,Luís,Gomes,male,"Rua Criciúma 1888",Recife,Pernambuco,52190-170,"(81) 7645-2720",36,Furrow's,-7.942704,-34.921848
143,Gabriel,Rodrigues,male,"Vila Magalhães 897",Natal,"Rio Grande do Norte",59060-181,"(84) 4613-8710",39,"King Carol",-5.803311,-35.215665
144,Kauan,Lima,male,"Rua Jair Santos 1393",Salvador,Bahia,40330-460,"(71) 4494-5499",45,"Cherry & Webb",-12.83027,-38.552451
145,Raissa,Santos,female,"Rua Josefa Lima 1724",Caucaia,Ceará,61602-230,"(85) 2134-2328",25,Briazz,-3.798291,-38.783035
146,Felipe,Correia,male,"Rua 78 1005","São Carlos","São Paulo",13573-200,"(16) 3768-2358",35,"Asian Junction",-21.864973,-47.84344
147,Ana,Cavalcanti,female,"Rua Doutor Raimundo Boa Vista 105",Teresina,Piauí,64039-430,"(86) 2923-8582",24,"Mr. Clark's Appliances",-5.22763,-42.841967
148,Diogo,Fernandes,male,"Rua Maripousa 730",Recife,Pernambuco,51250-550,"(81) 5192-6245",31,"EXPO Design Center",-7.949875,-34.90454
149,Thaís,Ribeiro,female,"Rua José Custódio 1930",Itapira,"São Paulo",13971-222,"(19) 3100-9898",28,Loblaws,-22.439504,-46.734844
150,Marisa,Souza,female,"Quadra 607 Sul Alameda 5 826",Palmas,Tocantins,77016-506,"(63) 7682-9837",42,"Rex Audio Video Appliance",-10.113479,-48.059982
151,Paulo,Dias,male,"Rua Vinte e Três 1163",Contagem,"Minas Gerais",32070-600,"(31) 3303-9529",22,"Franklin Simon",-19.866024,-44.141355
152,Martim,Rocha,male,"Quadra QE 16 Conjunto B 286",Guará,"Distrito Federal",71015-023,"(61) 5442-9044",31,"Laughner's Cafeteria",-20.430245,-47.736901
153,Carolina,Rodrigues,female,"Vila Raimunda 1468",Fortaleza,Ceará,60527-370,"(85) 6216-5967",39,Indiewealth,-3.713445,-38.46844
154,Giovana,Melo,female,"Quadra SMPW Quadra 04 Conjunto 08 1472","Núcleo Bandeirante","Distrito Federal",71735-408,"(61) 5321-4825",38,"First Choice Yard Help",-15.927937,-47.923862
155,Vitória,Correia,female,"Beco São José 1800","Belo Horizonte","Minas Gerais",31580-271,"(31) 9959-5178",25,"Alladin's Lamp",-19.925236,-44.04814
156,Beatriz,Goncalves,female,"Rua Veneza 1031",Japeri,"Rio de Janeiro",26430-280,"(21) 4496-8715",18,"Franklin Music",-22.676199,-43.598879
157,Giovanna,Gomes,female,"Rua Francisco de Assis 337",Cariacica,"Espírito Santo",29142-170,"(27) 5294-6770",39,"Gamma Gas",-20.283518,-40.549139
158,Isabelle,Araujo,female,"Rua Primeira 838",Macapá,Amapá,68906-106,"(96) 5447-4782",35,Netaid,0.618935,-50.685724
159,Thiago,Cavalcanti,male,"Rua Carlos Gabetta 1167",Valinhos,"São Paulo",13272-476,"(19) 9489-4193",27,"J. B. Van Sciver",-23.072024,-46.89915
160,Evelyn,Cunha,female,"Rua Sete 1488",Ananindeua,Pará,67113-105,"(91) 3208-4120",38,Coconut's,-1.306444,-48.416442
161,Paulo,Pinto,male,"Rua Mancenilha 190","São Paulo","São Paulo",04387-060,"(11) 5067-4433",26,"House Works",-23.720109,-46.590255
162,Thaís,Dias,female,"Rua Andradina 1202",Cuiabá,"Mato Grosso",78058-737,"(65) 9142-6241",25,"Waccamaw Pottery",-15.416573,-55.939247
163,Luana,Barbosa,female,"Estrada do Atérrado do Rio 672","Rio de Janeiro","Rio de Janeiro",23030-110,"(21) 7932-7036",25,"Incredible Universe",-23.006276,-43.363287
164,Beatriz,Dias,female,"Rua dos Bancários 1543",Joinville,"Santa Catarina",89232-400,"(47) 4409-6493",41,"Hanover Shoe",-26.328223,-48.916949
165,Lara,Azevedo,female,"Rua 17 1256",Anápolis,Goiás,75074-160,"(62) 5253-4572",27,"Magik Lamp",-16.28579,-49.105454
166,Gabriel,Souza,male,"Rua Edmilson Varejão 487",Cariacica,"Espírito Santo",29151-050,"(27) 4661-7722",30,"Tape World",-20.373144,-40.389693
167,Melissa,Barros,female,"Vila Herminio Lima Vieira 571",Macaé,"Rio de Janeiro",27910-620,"(22) 5216-7378",44,"Freedom Map",-22.382266,-41.99968
168,Thiago,Lima,male,"Rua Voluntário Adriano Cintra 1808",Franca,"São Paulo",14405-352,"(16) 2472-6238",38,"The Lawn Guru",-20.557275,-47.433083
